,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160101,대구,31˚ 5´,13˚ 10´,30˚ 42´,21˚ 6´,-7˚ 47´,131˚ 44´,172˚ 19´,217˚ 12´,247˚ 9´
0,20160102,대구,31˚ 10´,13˚ 10´,30˚ 46´,21˚ 13´,-7˚ 39´,131˚ 35´,172˚ 10´,217˚ 9´,247˚ 9´
0,20160103,대구,31˚ 15´,13˚ 9´,30˚ 50´,21˚ 21´,-7˚ 31´,131˚ 27´,172˚ 2´,217˚ 6´,247˚ 10´
0,20160104,대구,31˚ 21´,13˚ 9´,30˚ 55´,21˚ 30´,-7˚ 22´,131˚ 18´,171˚ 54´,217˚ 3´,247˚ 11´
0,20160105,대구,31˚ 27´,13˚ 10´,31˚ 1´,21˚ 38´,-7˚ 13´,131˚ 9´,171˚ 46´,217˚ 1´,247˚ 12´
0,20160106,대구,31˚ 34´,13˚ 11´,31˚ 6´,21˚ 47´,-7˚ 4´,130˚ 59´,171˚ 38´,216˚ 59´,247˚ 14´
0,20160107,대구,31˚ 41´,13˚ 12´,31˚ 13´,21˚ 57´,-6˚ 55´,130˚ 50´,171˚ 29´,216˚ 58´,247˚ 17´
0,20160108,대구,31˚ 49´,13˚ 13´,31˚ 19´,22˚ 6´,-6˚ 46´,130˚ 40´,171˚ 21´,216˚ 57´,247˚ 19´
0,20160109,대구,31˚ 57´,13˚ 15´,31˚ 27´,22˚ 16´,-6˚ 36´,130˚ 30´,171˚ 13´,216˚ 56´,247˚ 22´
0,20160110,대구,32˚ 5´,13˚ 18´,31˚ 34´,22˚ 27´,-6˚ 27´,130˚ 20´,171˚ 5´,216˚ 55´,247˚ 26´
0,20160111,대구,32˚ 14´,13˚ 21´,31˚ 42´,22˚ 37´,-6˚ 17´,130˚ 10´,170˚ 57´,216˚ 55´,247˚ 30´
0,20160112,대구,32˚ 24´,13˚ 24´,31˚ 51´,22˚ 48´,-6˚ 7´,129˚ 59´,170˚ 49´,216˚ 56´,247˚ 34´
0,20160113,대구,32˚ 33´,13˚ 27´,31˚ 59´,22˚ 59´,-5˚ 57´,129˚ 48´,170˚ 41´,216˚ 56´,247˚ 39´
0,20160114,대구,32˚ 43´,13˚ 31´,32˚ 9´,23˚ 11´,-5˚ 46´,129˚ 37´,170˚ 33´,216˚ 57´,247˚ 44´
0,20160115,대구,32˚ 54´,13˚ 36´,32˚ 18´,23˚ 22´,-5˚ 36´,129˚ 26´,170˚ 26´,216˚ 58´,247˚ 50´
0,20160116,대구,33˚ 5´,13˚ 40´,32˚ 29´,23˚ 34´,-5˚ 25´,129˚ 15´,170˚ 18´,217˚ 0´,247˚ 56´
0,20160117,대구,33˚ 16´,13˚ 46´,32˚ 39´,23˚ 47´,-5˚ 15´,129˚ 3´,170˚ 10´,217˚ 2´,248˚ 2´
0,20160118,대구,33˚ 28´,13˚ 51´,32˚ 50´,23˚ 59´,-5˚ 4´,128˚ 51´,170˚ 3´,217˚ 4´,248˚ 9´
0,20160119,대구,33˚ 40´,13˚ 57´,33˚ 1´,24˚ 12´,-4˚ 53´,128˚ 40´,169˚ 55´,217˚ 7´,248˚ 16´
0,20160120,대구,33˚ 53´,14˚ 3´,33˚ 13´,24˚ 25´,-4˚ 42´,128˚ 28´,169˚ 48´,217˚ 10´,248˚ 24´
0,20160121,대구,34˚ 6´,14˚ 10´,33˚ 25´,24˚ 38´,-4˚ 31´,128˚ 15´,169˚ 40´,217˚ 14´,248˚ 32´
0,20160122,대구,34˚ 19´,14˚ 17´,33˚ 38´,24˚ 52´,-4˚ 20´,128˚ 3´,169˚ 33´,217˚ 18´,248˚ 40´
0,20160123,대구,34˚ 33´,14˚ 24´,33˚ 51´,25˚ 5´,-4˚ 9´,127˚ 51´,169˚ 26´,217˚ 22´,248˚ 49´
0,20160124,대구,34˚ 47´,14˚ 32´,34˚ 4´,25˚ 19´,-3˚ 57´,127˚ 38´,169˚ 19´,217˚ 27´,248˚ 58´
0,20160125,대구,35˚ 1´,14˚ 40´,34˚ 18´,25˚ 33´,-3˚ 46´,127˚ 25´,169˚ 12´,217˚ 32´,249˚ 8´
0,20160126,대구,35˚ 16´,14˚ 49´,34˚ 32´,25˚ 47´,-3˚ 35´,127˚ 13´,169˚ 6´,217˚ 38´,249˚ 18´
0,20160127,대구,35˚ 31´,14˚ 58´,34˚ 46´,26˚ 2´,-3˚ 23´,127˚ 0´,168˚ 59´,217˚ 44´,249˚ 28´
