시간,전일유입량,저수량(현재),전일방류량(본댐),저수량차이,2일전유입량,3일전유입량,4일전유입량,5일전유입량,6일전유입량,7일전유입량,당일유입량,1일후유입량,2일후유입량,평균기온(°C),1일전평균기온(°C),2일전평균기온(°C),3일전평균기온(°C),4일전평균기온(°C),5일전평균기온(°C),6일전평균기온(°C),7일전평균기온(°C),평균강수량(mm),1일전평균강수량(mm),2일전평균강수량(mm),3일전평균강수량(mm),4일전평균강수량(mm),5일전평균강수량(mm),6일전평균강수량(mm),7일전평균강수량(mm),평균습도(%),1일전평균습도(%),2일전평균습도(%),3일전평균습도(%),4일전평균습도(%),5일전평균습도(%),6일전평균습도(%),7일전평균습도(%),1일후평균강수량(mm),2일후평균강수량(mm),3일후평균강수량(mm)
2000-01-01,7.4,513.4,28.9,173.39999999999998,5.8,3.5,5.5,6.900000000000001,5.0,5.3,4.4,4.7,3.8,4.0,0.7875,0.025,1.8875,2.583333333,-0.583333333,-1.004166667,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33333333,57.70833333,59.375,67.79166667,66.20833333,61.75,63.20833333,51.75,0.0,0.0,0.0
2000-01-02,4.4,512.1,23.7,173.0,7.4,5.8,3.5,5.5,6.900000000000001,5.0,4.7,3.8,6.1,7.133333333,4.0,0.7875,0.025,1.8875,2.583333333,-0.583333333,-1.004166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.20833333,63.33333333,57.70833333,59.375,67.79166667,66.20833333,61.75,63.20833333,0.0,0.0,0.1875
2000-01-03,4.7,509.8,26.1,171.8,4.4,7.4,5.8,3.5,5.5,6.900000000000001,3.8,6.1,8.0,2.0625,7.133333333,4.0,0.7875,0.025,1.8875,2.583333333,-0.583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.91666667,65.20833333,63.33333333,57.70833333,59.375,67.79166667,66.20833333,61.75,0.0,0.1875,1.020833333
2000-01-04,3.8,508.4,27.3,171.39999999999998,4.7,4.4,7.4,5.8,3.5,5.5,6.1,8.0,6.4,0.829166667,2.0625,7.133333333,4.0,0.7875,0.025,1.8875,2.583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.91666667,55.91666667,65.20833333,63.33333333,57.70833333,59.375,67.79166667,66.20833333,0.1875,1.020833333,0.135416667
2000-01-05,6.1,506.5,25.2,170.39999999999998,3.8,4.7,4.4,7.4,5.8,3.5,8.0,6.4,5.9,3.9,0.829166667,2.0625,7.133333333,4.0,0.7875,0.025,1.8875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.79166667,56.91666667,55.91666667,65.20833333,63.33333333,57.70833333,59.375,67.79166667,1.020833333,0.135416667,0.0
2000-01-06,8.0,505.2,25.0,170.0,6.1,3.8,4.7,4.4,7.4,5.8,6.4,5.9,4.4,7.591666667,3.9,0.829166667,2.0625,7.133333333,4.0,0.7875,0.025,1.020833333,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,69.16666667,62.79166667,56.91666667,55.91666667,65.20833333,63.33333333,57.70833333,59.375,0.135416667,0.0,0.208333333
2000-01-07,6.4,503.4,25.0,169.2,8.0,6.1,3.8,4.7,4.4,7.4,5.9,4.4,5.4,0.208333333,7.591666667,3.9,0.829166667,2.0625,7.133333333,4.0,0.7875,0.135416667,1.020833333,0.1875,0.0,0.0,0.0,0.0,0.0,46.91666667,69.16666667,62.79166667,56.91666667,55.91666667,65.20833333,63.33333333,57.70833333,0.0,0.208333333,0.619791667
2000-01-08,5.9,501.9,24.8,168.79999999999995,6.4,8.0,6.1,3.8,4.7,4.4,4.4,5.4,3.2,-0.816666667,0.208333333,7.591666667,3.9,0.829166667,2.0625,7.133333333,4.0,0.0,0.135416667,1.020833333,0.1875,0.0,0.0,0.0,0.0,64.04166667,46.91666667,69.16666667,62.79166667,56.91666667,55.91666667,65.20833333,63.33333333,0.208333333,0.619791667,0.869791667
2000-01-09,4.4,500.1,29.6,168.5,5.9,6.4,8.0,6.1,3.8,4.7,5.4,3.2,6.8,-0.1125,-0.816666667,0.208333333,7.591666667,3.9,0.829166667,2.0625,7.133333333,0.208333333,0.0,0.135416667,1.020833333,0.1875,0.0,0.0,0.0,71.20833333,64.04166667,46.91666667,69.16666667,62.79166667,56.91666667,55.91666667,65.20833333,0.619791667,0.869791667,0.145833333
2000-01-10,5.4,477.4,26.3,147.29999999999995,4.4,5.9,6.4,8.0,6.1,3.8,3.2,6.8,6.6,1.604166667,-0.1125,-0.816666667,0.208333333,7.591666667,3.9,0.829166667,2.0625,0.619791667,0.208333333,0.0,0.135416667,1.020833333,0.1875,0.0,0.0,71.125,71.20833333,64.04166667,46.91666667,69.16666667,62.79166667,56.91666667,55.91666667,0.869791667,0.145833333,0.0
